Name,Unit,Expression,Value,Comments,Favorite
XFrameBackOffset,mm,50 mm,50.00,Moves the rear XFrame tubing forward,true
calcXYFrmXAxis,mm,floor(YFrameWidth / 2 - ( YFrameThick * 2 + 6 mm )),13.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
calcXYFrmYAxis,mm,floor(XFrameWidth / 2 - ( XFrameThick * 2 + 6 mm )) - AdjXYFrameHoles,25.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
RollerPlateThick,mm,15 mm,15.00,"12mm for milled aluminum, 15mm for 3d printed",true
XRollerShimThick,mm,8 mm,8.00,Adds shim between XTopRoller and ZPlate. Set 8mm to use 6mm angle and square tubing.,true
calcGanYRolXAxis,mm,floor(YRollerWidth / 2 - ( YRollerThick * 2 + 6 mm )),25.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
calcGanYRolYAxis,mm,( ( KitEnable * 22.5 ) * 1 mm ) + ( ( ( KitEnable - 1 ) * -1 ) * ( floor(XGantryWidth / 2 - ( XGantryThick * 2 + 6 mm )) - AdjXGanYRolHoles ) ),22.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
ZCarriageCount,,2,2,"Number of Z Carriages per linear rail. 1 uses HGW20CC, 2 uses HGH15CA",false
calcZPlateHoleWidth,mm,( 8 mm + ( ( ZCarriageCount * 28 ) * 1 mm ) ) / 2,32.00,Adjusts roller hole spacing for Single or Dual Carriage Z axis.,false
GantryBraceHeight,mm,75 mm,75.00,Gantry to Yroller brace height,false
GantryBraceWidth,mm,50 mm,50.00,Gantry to Yroller brace width,false
GantryBraceThick,mm,6 mm,6.00,Gantry to Yroller brace thickness,false
GantryBraceRadius,mm,6 mm,6.00,Gantry to Yroller brace radius,false
XRailtoYRollerLeftGap,mm,5 mm,5.00,"25 for single Xcarriage, 5 for dual Xcarriage",false
XRailtoYRollerRightGap,mm,20 mm,20.00,"25 for single Xcarriage, 20 for dual Xcarriage",false
AdjXYFrameHoles,mm,0 mm,0.00,,false
AdjXGanYRolHoles,mm,1 mm,1.00,Adjust to avoid bolt head to steel radius conflicts.,false
SpindleClampWidth,mm,135 mm,135.00,,false
SpindleClampHeight,mm,91 mm,91.00,,false
DrillGuideHoleDiameter,mm,3.2 mm,3.20,,true
GantryBraceLength,mm,YRollerWidth,75.00,Change to length of Gantry Brace if different than Y Roller Width,true
XBallscrewLength,mm,calcXRailLength + 100 mm,900.00,Info: XBallscrew Length,true
XRailLength,mm,calcXRailLength,800.00,Info: XRail Length,true
YRailLength,mm,calcYRailLength,800.00,Info: YRail Length,true
ZRailLength,mm,300 mm,300.00,"Info: ZRail Length - If using 350mm Z plate, change to 350
",true
YBallscrewLength,mm,calcYRailLength + 100 mm,900.00,Info: YBallscrew Length,true
ZBallscrewLength,mm,ZRailLength,300.00,Info: ZBallscrew Length,true
XGantryLengthImperial,in,ceil(( XGantryLength / 25.4 mm ) * 4 in) / 4,38.50,"Info: Rounds up to nearest 1/4"" for imperial lengths",true
XFrameLengthImperial,in,ceil(( calcXFrameLength / 25.4 mm ) * 4 in) / 4,37.50,"Info: Rounds up to nearest 1/4"" for imperial lengths",true
XRollerLengthImperial,in,ceil(XRollerLength / 25.4 mm) * 4 in / 4,6.00,"Info: Rounds up to nearest 1/4"" for imperial lengths",true
YFrameLengthImperial,in,ceil(( calcYFrameLength / 25.4 mm ) * 4 in) / 4,37.50,"Info: Rounds up to nearest 1/4"" for imperial lengths",true
YRollerLengthImperial,in,ceil(( YRollerLength / 25.4 mm ) * 4 in) / 4,6.00,"Info: Rounds up to nearest 1/4"" for imperial lengths",true
calcGantryBraceXHoleSpacing,mm,min(calcGanYRolXAxis; ( GantryBraceLength / 2 ) - 10 mm),25.00,,false
calcGantryBraceYHoleSpacing,mm,( GantryBraceWidth / 2 ) - GantryBraceThick * 2 - 3 mm,10.00,,false
calcGantryBraceZHoleSpacing,mm,( GantryBraceHeight / 2 ) - GantryBraceThick * 2 - 3 mm,22.50,,false
KitEnable,,0,0,"0 for DIY, 1 for Kit",false
